branch	def_files	conflicted_kassa	n_conflicts
feature/c5-push-prereqs	1	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/XZReportService.cs,	41
feature/rebrand-ali-port	1	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/XZReportService.cs,	39
feature/restaurant-control-stage0	2	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/GoodsGroupService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,Services/Kassa/XZReportService.cs,	414
feature/shift-scheduling	1	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/XZReportService.cs,	34
feature/swiss	1	none	24
feature/twint-swiss	1	none	1
fix/dup-tableid-migration	1	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/XZReportService.cs,	39
integration/be-cutover	1	Services/Kassa/CashDrawerService.cs,Services/Kassa/EodService.cs,Services/Kassa/KassaLock.cs,Services/Kassa/OpenCheckService.Discounts.cs,Services/Kassa/OpenCheckService.Lines.cs,Services/Kassa/XZReportService.cs,	39
integration/confirm-family	1	none	2
integration/mig-stack-land	1	none	2
integration/mig-stack-merge	1	none	0
land/meals-posrel-v1	1	none	1
