branch	merge	def_files	def_paths
feature/c5-push-prereqs	CONFLICT	-	-
feature/rebrand-ali-port	CONFLICT	-	-
feature/restaurant-control-stage0	CONFLICT	-	-
feature/shift-scheduling	CONFLICT	-	-
feature/swiss	CONFLICT	-	-
feature/twint-swiss	CONFLICT	-	-
fix/dup-tableid-migration	CONFLICT	-	-
integration/be-cutover	CONFLICT	-	-
integration/confirm-family	CONFLICT	-	-
integration/mig-stack-land	CONFLICT	-	-
integration/mig-stack-merge	OK	1	Services/Kassa/KassaCreditSale.cs,
land/meals-posrel-v1	CONFLICT	-	-
lane/a1-store-country	CONFLICT	-	-
lane/a2-growth-flake	CONFLICT	-	-
lane/a3-tx-gate	CONFLICT	-	-
lane/a5-events-w4	CONFLICT	-	-
lane/a6-meals-minors	CONFLICT	-	-
lane/accounting-export-silent	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/acct-uidx	CONFLICT	-	-
lane/ack-receipt-inbox-column	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/authclean	CONFLICT	-	-
lane/b1-training-w3	CONFLICT	-	-
lane/b2-wf-exchange	CONFLICT	-	-
lane/b3-wf-timesheets	CONFLICT	-	-
lane/census-derives-its-floor	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/census-floors-derived	CONFLICT	-	-
lane/clockout-state-is-not-open	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/compose-and-run-the-stack	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/cors-credentialed-origin	CONFLICT	-	-
lane/cors-followups	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/cors-narrow-the-default	CONFLICT	-	-
lane/cors-narrow-the-default-integration	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/cost-rollup	CONFLICT	-	-
lane/credit-note-number	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/dated-test-output	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/demo-workforce	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ef-index-shadow-sweep	CONFLICT	-	-
lane/empref-natid	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/eod-credit-split	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/escpos-ladder-tender	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-accept-receipt	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-concurrency-stale-revision	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-extdep	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-extdep-guards	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-inquiry-gate	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-outbox-flake	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-outbox-guid-substring	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-refund-fake-arg	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-seed-deposits	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-stale-cause	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-uri-relative	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-vipps-fallback	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/ev-vipps-fallback-2	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/events-outbox	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/events-settlement-reads	CONFLICT	-	-
lane/events-w2-anchor	CONFLICT	-	-
lane/events-w2-deposits	CONFLICT	-	-
lane/events-w2-harness	CONFLICT	-	-
lane/events-w2-proposals	CONFLICT	-	-
lane/events-w3-anchor	CONFLICT	-	-
lane/events-w3-consumer	CONFLICT	-	-
lane/events-w3-runsheets	CONFLICT	-	-
lane/events-w3-settlement	CONFLICT	-	-
lane/finalize-index-or-a-reason	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/flags-effective-resolvers	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/flags-excuse-byflag	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/flags-resolvers-cover-three	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/fragile-needles	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-approval-state	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-deadline-onwire	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-deadline-statute	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-exit-wire-the-mail	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-newsletter-cross-land	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-newsletter-cross-verify	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-postmark-webhook	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/gr-withdraw-origin	CONFLICT	-	-
lane/growth-effective-resolver	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/growth-health-honest	CONFLICT	-	-
lane/growth-newsletter-wire	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/growth-prefcentre	CONFLICT	-	-
lane/growth-sql-catch-typed	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/growth-w2-anchor	CONFLICT	-	-
lane/growth-w2-endpoints	CONFLICT	-	-
lane/growth-w2-harness	CONFLICT	-	-
lane/growth-w2-provider	CONFLICT	-	-
lane/growth-w3-anchor	CONFLICT	-	-
lane/growth-w3-dispatch	CONFLICT	-	-
lane/growth-w3-provider	CONFLICT	-	-
lane/growth-w3-security	CONFLICT	-	-
lane/growthaudit-migration	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/guestlink-one-composer	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/hosted-service-floor	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/isofix	CONFLICT	-	-
lane/lanes-out-of-assembly	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/margin-d0	CONFLICT	-	-
lane/margin-finalize-lag	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/margin-price-correction	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/margin-s0	CONFLICT	-	-
lane/margin-violation-anchor	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/margin-w2-harness	CONFLICT	-	-
lane/margin-w2-import	CONFLICT	-	-
lane/margin-w2-prices	CONFLICT	-	-
lane/margin-w2-recipes	CONFLICT	-	-
lane/margin-w3-anchor	CONFLICT	-	-
lane/margin-w3-journeys	CONFLICT	-	-
lane/margin-w3-projector	CONFLICT	-	-
lane/margin-w3-statements	CONFLICT	-	-
lane/margin-waste	CONFLICT	-	-
lane/margin-waste-500	CONFLICT	-	-
lane/meals-agreement-create	CONFLICT	-	-
lane/meals-agreement-pin-inverts	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-degenerate-two	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-docsync	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-eighth-pin	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-eighth-read	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-floor-pins	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-fourway-tier	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-grace-pins	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-idempotency-refusal	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-lever-withhold	OK	1	Services/Kassa/KassaCreditSale.cs,
lane/meals-members-read	OK	1	Services/Kassa/KassaCreditSale.cs,
