branch	tip_ahead	br_ahead	defs_in_tree	has_export_private	has_request_twin	touches_kassa_in_diff
feature/c5-push-prereqs	467	219	0	0	0	none
feature/rebrand-ali-port	467	221	0	0	0	none
feature/restaurant-control-stage0	467	387	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
feature/shift-scheduling	467	234	0	0	0	none
feature/swiss	521	87	0	0	0	none
feature/twint-swiss	521	1	0	0	0	none
fix/dup-tableid-migration	467	216	0	0	0	none
integration/be-cutover	467	210	0	0	0	none
integration/confirm-family	49	10	1	1	0	none
integration/mig-stack-land	59	34	1	1	0	none
integration/mig-stack-merge	0	38	1	0	0	none
land/meals-posrel-v1	51	2	1	0	0	none
lane/a1-store-country	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/a2-growth-flake	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/a3-tx-gate	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/a5-events-w4	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/a6-meals-minors	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/accounting-export-silent	0	1	1	0	0	none
lane/acct-uidx	81	26	1	1	0	none
lane/ack-receipt-inbox-column	0	1	1	0	0	none
lane/authclean	322	1	1	1	0	none
lane/b1-training-w3	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/b2-wf-exchange	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
lane/b3-wf-timesheets	467	380	1	1	0	Services/Kassa/SaftCashRegisterExportService.MasterData.cs,Services/Kassa/SaftCashRegisterExportService.Transactions.cs,
