branch	class	result	conflicted_files_at_pristine_tip	conflicted_files_at_candidate_f40fdf3
lane/fe-training-meals-surfaces	INHERENT-tip-vs-branch	STILL-CONFLICTS	23	28
feature/swiss	INHERENT-tip-vs-branch	STILL-CONFLICTS	10	11
lane/ev-stale-cause	INHERENT-tip-vs-branch	STILL-CONFLICTS	5	5
lane/fe-events-margin-surfaces	INHERENT-tip-vs-branch	STILL-CONFLICTS	8	8
lane/statute-evidence-world	INHERENT-tip-vs-branch	STILL-CONFLICTS	5	5
lane/fe-wf-link-deadend	INHERENT-tip-vs-branch	STILL-CONFLICTS	7	7
lane/fe-wf-self	INHERENT-tip-vs-branch	STILL-CONFLICTS	10	13
lane/menu-allergen-matrix	INHERENT-tip-vs-branch	STILL-CONFLICTS	5	5
lane/wf-pubhist	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/margin-menu-margin-ui	INHERENT-tip-vs-branch	STILL-CONFLICTS	2	3
lane/meals-admin	INHERENT-tip-vs-branch	STILL-CONFLICTS	7	10
lane/events-admin	INHERENT-tip-vs-branch	STILL-CONFLICTS	11	11
lane/margin-recipes	INHERENT-tip-vs-branch	STILL-CONFLICTS	11	11
lane/training-admin	INHERENT-tip-vs-branch	STILL-CONFLICTS	14	16
lane/fe-wf-bootstrap	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/fe-wf-correction-path	ORDER-INDUCED	STILL-CONFLICTS	0	2
lane/growth-admin	INHERENT-tip-vs-branch	STILL-CONFLICTS	13	13
lane/mrg-waste-frontend	ORDER-INDUCED	STILL-CONFLICTS	0	2
lane/train-readonly-visible	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/wf-adjust-address	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/workforce-roster	INHERENT-tip-vs-branch	STILL-CONFLICTS	10	10
lane/L-JOURNEY-GROWTH	ORDER-INDUCED	STILL-CONFLICTS	0	3
lane/modal-broken-two	INHERENT-tip-vs-branch	STILL-CONFLICTS	2	3
lane/journey-teardown	ORDER-INDUCED	STILL-CONFLICTS	0	2
lane/fe-gr-exit-wire-the-mail	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/fe-meals-docsync	ORDER-INDUCED	STILL-CONFLICTS	0	1
lane/L-JOURNEY-PORT-HARDCODED	ORDER-INDUCED	STILL-CONFLICTS	0	1
lanes/L-XZ-NEGATED-ABSENCE	ORDER-INDUCED	STILL-CONFLICTS	0	2
