C-	9f7d8dfc	refs/heads/candidate/fe-compose-2026-08-05	
CM	da1d3813	refs/heads/feature/POS	
CM	e34977ac	refs/heads/feature/restaurant-modules	
--	f271b12b	refs/heads/feature/swiss	
--	ef2d6be4	refs/heads/lane/L-JOURNEY-GROWTH	
--	4772c131	refs/heads/lane/L-JOURNEY-PORT-HARDCODED	
C-	6646fa58	refs/heads/lane/L-JOURNEY-PROXY-BLINDSPOT	
C-	a3666858	refs/heads/lane/L-PRICE-SHADOW-GUARD	
CM	11808919	refs/heads/lane/admin-nav-links	
--	c8f26d52	refs/heads/lane/check-discount-sum-coupled	
--	c32cda3c	refs/heads/lane/check-lineamount-ungated-sum	
C-	4351f8f7	refs/heads/lane/coercion-write-paths	
--	808d5095	refs/heads/lane/collect-review-conditions	
C-	6f03b187	refs/heads/lane/collected-paths	
C-	7f309951	refs/heads/lane/ev-guestlink-one-composer	
--	b7a9f389	refs/heads/lane/ev-journey-timebomb	
--	818c48a9	refs/heads/lane/ev-stale-cause	
--	6790589e	refs/heads/lane/events-admin	
CM	6b11a649	refs/heads/lane/events-margin-client	
C-	778482ba	refs/heads/lane/exit-instrument-census	
C-	478ced73	refs/heads/lane/fe-admin-refusal-credential	
C-	36ce9ae0	refs/heads/lane/fe-ci	
C-	f7695bcb	refs/heads/lane/fe-ev-inquiry-gate	
CM	2eb12222	refs/heads/lane/fe-events-guest	
--	e8b58ec1	refs/heads/lane/fe-events-margin-surfaces	
--	814f04d6	refs/heads/lane/fe-gr-exit-wire-the-mail	
C-	80493321	refs/heads/lane/fe-gr-withdraw-origin	
CM	d6c0b125	refs/heads/lane/fe-growth-guest	
CM	a70cf04d	refs/heads/lane/fe-growth-honesty	
C-	7a8b0d3a	refs/heads/lane/fe-growth-prefcentre	
--	775d45e2	refs/heads/lane/fe-growth-suppressed-key	
C-	f6294ddd	refs/heads/lane/fe-journey-meals	
--	de0d66b9	refs/heads/lane/fe-journeys	
CM	c1f34c4f	refs/heads/lane/fe-margin-statement	
CM	fecf9614	refs/heads/lane/fe-margin-supplier	
CM	a3f61009	refs/heads/lane/fe-meals-claim	
C-	d833d197	refs/heads/lane/fe-meals-claim-receipt	
--	7ac2f929	refs/heads/lane/fe-meals-docsync	
--	d320105f	refs/heads/lane/fe-meals-journey-locator	
--	9fbed806	refs/heads/lane/fe-meals-pretick-walked	
C-	e0729488	refs/heads/lane/fe-meals-reconcile-ui	
C-	9215d385	refs/heads/lane/fe-meals-statement-surface	
CM	8bc4155d	refs/heads/lane/fe-meals-write	
CM	d6c4f4f7	refs/heads/lane/fe-playwright	
--	7c3a1e1f	refs/heads/lane/fe-pos-clock	
CM	fcf5a3e4	refs/heads/lane/fe-training-fixes	
--	20693381	refs/heads/lane/fe-training-meals-surfaces	
--	c67df92a	refs/heads/lane/fe-wf-blind-bind-name	
--	9264904d	refs/heads/lane/fe-wf-bootstrap	
C-	3583b9f1	refs/heads/lane/fe-wf-contact-imported	
--	b4dd5282	refs/heads/lane/fe-wf-correction-path	
CM	4e5ad7e6	refs/heads/lane/fe-wf-inbox	
--	e8d69fc3	refs/heads/lane/fe-wf-invite-list-revoke	
--	bed932e3	refs/heads/lane/fe-wf-link-deadend	
--	9ec1100d	refs/heads/lane/fe-wf-onboard	
--	3e811b22	refs/heads/lane/fe-wf-oplink	
CM	3374a581	refs/heads/lane/fe-wf-personnel	
--	5886ba30	refs/heads/lane/fe-wf-self	
CM	e215db00	refs/heads/lane/fe-wf-supplement-basis	
--	0dbec34b	refs/heads/lane/fixture-divergence-receipt	
--	3d204511	refs/heads/lane/fixture-suppressed-refusal	
--	f866024a	refs/heads/lane/growth-admin	
C-	82127eb1	refs/heads/lane/jest-collects-lanes	
--	b8ba8030	refs/heads/lane/journey-teardown	
C-	eb8f4121	refs/heads/lane/journey-workforce	
--	36600c1f	refs/heads/lane/margin-menu-margin-ui	
--	c3974fdb	refs/heads/lane/margin-recipes	
--	7890f691	refs/heads/lane/meals-admin	
C-	2e3f39d1	refs/heads/lane/meals-enrol-pretick	
C-	802041a8	refs/heads/lane/meals-enrol-ui	
C-	f65595d6	refs/heads/lane/meals-reachable-web	
--	f1b0d1a9	refs/heads/lane/menu-allergen-matrix	
--	63489442	refs/heads/lane/modal-broken-two	
CM	178c8951	refs/heads/lane/modal-scrolllock	
CM	839d377f	refs/heads/lane/modal-seven	
C-	45570276	refs/heads/lane/mrg-coverage-unknown	
C-	b2aa72e8	refs/heads/lane/mrg-lag-visible	
C-	8ac314cd	refs/heads/lane/mrg-page-test-vacuous	
C-	c429d515	refs/heads/lane/mrg-recipe-revise-ui	
C-	4a4aa4a1	refs/heads/lane/mrg-revise-land	
--	804fe238	refs/heads/lane/mrg-waste-frontend	
C-	87702ef0	refs/heads/lane/mrg-waste-receipts	
