branch	merge	kassacreditsale_defs	priv_saft_defs	posreceipt_defs	inline_finalize	total_defs
integration/confirm-family	CONFLICT	1	0	0	0	1
integration/mig-stack-land	CONFLICT	1	0	0	0	1
land/meals-posrel-v1	CONFLICT	1	0	0	0	1
lane/accounting-export-silent	clean	1	0	0	0	1
lane/acct-uidx	CONFLICT	1	0	0	0	1
lane/census-floors-derived	CONFLICT	1	0	0	0	1
lane/cors-credentialed-origin	CONFLICT	1	0	0	0	1
lane/cors-followups	clean	1	0	0	0	1
lane/credit-note-number	clean	1	0	0	0	1
lane/dated-test-output	clean	1	0	0	0	1
lane/ef-index-shadow-sweep	CONFLICT	1	0	0	0	1
lane/eod-credit-split	clean	1	0	0	0	1
lane/ev-accept-receipt	clean	1	0	0	0	1
lane/ev-extdep	clean	1	0	0	0	1
lane/ev-extdep-guards	clean	1	0	0	0	1
lane/ev-inquiry-gate	clean	1	0	0	0	1
lane/ev-outbox-flake	clean	1	0	0	0	1
lane/ev-outbox-guid-substring	clean	1	0	0	0	1
lane/ev-refund-fake-arg	clean	1	0	0	0	1
lane/ev-seed-deposits	clean	1	0	0	0	1
lane/ev-stale-cause	clean	1	0	0	0	1
lane/ev-uri-relative	clean	1	0	0	0	1
lane/ev-vipps-fallback	clean	1	0	0	0	1
lane/ev-vipps-fallback-2	clean	1	0	0	0	1
lane/flags-effective-resolvers	clean	1	0	0	0	1
lane/flags-excuse-byflag	clean	1	0	0	0	1
lane/fragile-needles	clean	1	0	0	0	1
lane/gr-approval-state	clean	1	0	0	0	1
lane/gr-deadline-onwire	clean	1	0	0	0	1
lane/gr-deadline-statute	clean	1	0	0	0	1
lane/gr-exit-wire-the-mail	clean	1	0	0	0	1
lane/gr-newsletter-cross-verify	clean	1	0	0	0	1
lane/gr-postmark-webhook	clean	1	0	0	0	1
lane/gr-withdraw-origin	CONFLICT	1	0	0	0	1
lane/growth-health-honest	CONFLICT	1	0	0	0	1
lane/growth-newsletter-wire	clean	1	0	0	0	1
lane/growth-prefcentre	CONFLICT	1	0	0	0	1
lane/hosted-service-floor	clean	1	0	0	0	1
lane/lanes-out-of-assembly	clean	1	0	0	0	1
lane/margin-finalize-lag	clean	1	0	0	0	1
lane/margin-price-correction	clean	1	0	0	0	1
lane/margin-violation-anchor	clean	1	0	0	0	1
lane/margin-waste	CONFLICT	1	0	0	0	1
lane/margin-waste-500	CONFLICT	1	0	0	0	1
lane/meals-agreement-pin-inverts	clean	1	0	0	0	1
lane/meals-degenerate-two	clean	1	0	0	0	1
lane/meals-docsync	clean	1	0	0	0	1
lane/meals-eighth-pin	clean	1	0	0	0	1
lane/meals-eighth-read	clean	1	0	0	0	1
lane/meals-floor-pins	clean	1	0	0	0	1
lane/meals-fourway-tier	clean	1	0	0	0	1
lane/meals-grace-pins	clean	1	0	0	0	1
lane/meals-idempotency-refusal	clean	1	0	0	0	1
lane/meals-lever-withhold	clean	1	0	0	0	1
lane/meals-members-read	clean	1	0	0	0	1
lane/meals-quote-retry	clean	1	0	0	0	1
lane/meals-reachable	CONFLICT	1	0	0	0	1
lane/meals-reachable-api	CONFLICT	1	0	0	0	1
lane/meals-release-actor	CONFLICT	1	0	0	0	1
lane/meals-release-race	CONFLICT	1	0	0	0	1
lane/meals-requote-release	clean	1	0	0	0	1
lane/meals-supersede-sql	clean	1	0	0	0	1
lane/meals-sweep-guard	CONFLICT	1	0	0	0	1
lane/meals-xz-credit	clean	1	0	0	0	1
lane/mig-company-receivable	CONFLICT	1	0	0	0	1
lane/mrg-price-correction-2	clean	1	0	0	0	1
lane/mrg-starter-150b	clean	1	0	0	0	1
lane/pdf-creditnote-name	clean	1	0	0	0	1
lane/phone-in-path	clean	1	0	0	0	1
lane/push-token-in-path	clean	1	0	0	0	1
lane/replay-pins-close	clean	1	0	0	0	1
lane/review-residuals-provider	CONFLICT	1	0	0	0	1
lane/review-residuals-rezone	CONFLICT	1	0	0	0	1
lane/rollback-tracked-sweep	clean	1	0	0	0	1
