worktree	tracked_json	untracked_json
/Users/svendaneel/okam/Web	0	0
/Users/svendaneel/okam/Web-modules	3	1
/Users/svendaneel/okam/Web-modules-wt/L-COLLAPSE-THE-TWO-HOOK-SWEEPS	3	0
/Users/svendaneel/okam/web-admincred	3	0
/Users/svendaneel/okam/web-armrecapture	3	0
/Users/svendaneel/okam/web-arrival	5	0
/Users/svendaneel/okam/web-artloc	3	0
/Users/svendaneel/okam/web-atde	3	0
/Users/svendaneel/okam/web-blindbind	0	0
/Users/svendaneel/okam/web-check-discount-sum	3	0
/Users/svendaneel/okam/web-check-lineamount	3	0
/Users/svendaneel/okam/web-coercwrite	3	0
/Users/svendaneel/okam/web-collectcond	5	0
/Users/svendaneel/okam/web-collected	3	0
/Users/svendaneel/okam/web-consentvocab	3	0
/Users/svendaneel/okam/web-dupbuild	5	0
/Users/svendaneel/okam/web-dupkeyguard	5	0
/Users/svendaneel/okam/web-evinqgate	0	0
/Users/svendaneel/okam/web-evstale	3	0
/Users/svendaneel/okam/web-fe-candidate	5	5
/Users/svendaneel/okam/web-fe-ci	0	0
/Users/svendaneel/okam/web-fe-em	0	0
/Users/svendaneel/okam/web-fe-events-guest	0	0
/Users/svendaneel/okam/web-fe-growth-guest	0	0
/Users/svendaneel/okam/web-fe-growth-honesty	0	0
/Users/svendaneel/okam/web-fe-invlist	3	1
/Users/svendaneel/okam/web-fe-margin-statement	0	0
/Users/svendaneel/okam/web-fe-margin-supplier	0	0
/Users/svendaneel/okam/web-fe-meals-claim	0	0
/Users/svendaneel/okam/web-fe-meals-write	0	0
/Users/svendaneel/okam/web-fe-suppbasis	0	0
/Users/svendaneel/okam/web-fe-tm	0	0
/Users/svendaneel/okam/web-fe-training-fixes	0	0
/Users/svendaneel/okam/web-fe-wf-inbox	0	0
/Users/svendaneel/okam/web-fe-wf-personnel	0	0
/Users/svendaneel/okam/web-fe-wf-self	0	0
/Users/svendaneel/okam/web-fieldsvsharness	3	0
/Users/svendaneel/okam/web-fixdiv	3	0
/Users/svendaneel/okam/web-fixrendered	3	0
/Users/svendaneel/okam/web-grwithdraw	3	0
/Users/svendaneel/okam/web-guardland	3	0
/Users/svendaneel/okam/web-jestlanes	3	0
/Users/svendaneel/okam/web-journeys	0	0
/Users/svendaneel/okam/web-jrbisect	3	0
/Users/svendaneel/okam/web-kodeui	3	0
/Users/svendaneel/okam/web-linkdeadend	0	0
/Users/svendaneel/okam/web-lint2defects	5	0
/Users/svendaneel/okam/web-lintrunnable	5	0
/Users/svendaneel/okam/web-lintruns	5	0
/Users/svendaneel/okam/web-meals-claim-receipt	3	0
/Users/svendaneel/okam/web-mealsdocsync	3	0
/Users/svendaneel/okam/web-mealsrecon	3	0
/Users/svendaneel/okam/web-menu-allergen	0	0
/Users/svendaneel/okam/web-mixinlabels	3	0
/Users/svendaneel/okam/web-mjloc	3	0
/Users/svendaneel/okam/web-modal-scrolllock	1	0
/Users/svendaneel/okam/web-modal-seven	2	0
/Users/svendaneel/okam/web-modal-two	0	0
/Users/svendaneel/okam/web-mpretick	3	0
/Users/svendaneel/okam/web-mrgcovunknown	3	0
/Users/svendaneel/okam/web-mrgpagevac	3	0
/Users/svendaneel/okam/web-mrgwastefe	3	0
/Users/svendaneel/okam/web-noonly	3	0
/Users/svendaneel/okam/web-paylabel	3	0
/Users/svendaneel/okam/web-playwright	0	0
/Users/svendaneel/okam/web-pos-clock	0	0
/Users/svendaneel/okam/web-preflight	3	0
/Users/svendaneel/okam/web-preflight-missing	3	0
/Users/svendaneel/okam/web-print-host	1	0
/Users/svendaneel/okam/web-provexcl	3	0
/Users/svendaneel/okam/web-rcptde	3	1
/Users/svendaneel/okam/web-receipt-discount-row	3	0
/Users/svendaneel/okam/web-statute	2	0
/Users/svendaneel/okam/web-statute-world	2	0
/Users/svendaneel/okam/web-suppkey	3	0
/Users/svendaneel/okam/web-suppressed	3	0
/Users/svendaneel/okam/web-tierartifacts	3	0
/Users/svendaneel/okam/web-unwitnessed	3	3
/Users/svendaneel/okam/web-vatkeys	3	0
/Users/svendaneel/okam/web-vocabsweep	3	0
/Users/svendaneel/okam/web-vue3shape	3	0
/Users/svendaneel/okam/web-wastereceipts	3	0
/Users/svendaneel/okam/web-wastereceipts-at7b99f2a	0	0
/Users/svendaneel/okam/web-wastereceipts-parent	0	0
/Users/svendaneel/okam/web-wf-adjust	2	0
/Users/svendaneel/okam/web-wf-contact	3	0
/Users/svendaneel/okam/web-wf-idreg	0	0
/Users/svendaneel/okam/web-wf-onboard	0	0
/Users/svendaneel/okam/web-wf-oplink	0	0
/Users/svendaneel/okam/web-wfack	5	0
/Users/svendaneel/okam/web-wfboot	3	0
/Users/svendaneel/okam/web-wfcorrect	3	0
/Users/svendaneel/okam/web-whoanswered	3	0
/Users/svendaneel/okam/web-wtbasename	3	0
/Users/svendaneel/okam/web-wtbasename-tax	3	0
/Users/svendaneel/okam/web-xz-residual	3	0
/Users/svendaneel/okam/wt-author	0	0
/Users/svendaneel/okam/wt-events	0	0
/Users/svendaneel/okam/wt-evtb	3	0
/Users/svendaneel/okam/wt-fe-exitmail	3	0
/Users/svendaneel/okam/wt-fe4	0	0
/Users/svendaneel/okam/wt-fe5	0	0
/Users/svendaneel/okam/wt-feclient	0	0
/Users/svendaneel/okam/wt-growth	0	0
/Users/svendaneel/okam/wt-jteardown	3	0
/Users/svendaneel/okam/wt-jwf	5	0
/Users/svendaneel/okam/wt-margin	0	0
/Users/svendaneel/okam/wt-marginui	0	0
/Users/svendaneel/okam/wt-marketui	0	0
/Users/svendaneel/okam/wt-meals	0	0
/Users/svendaneel/okam/wt-meals-enrol-pretick	3	0
/Users/svendaneel/okam/wt-meals-enrol-ui	3	0
/Users/svendaneel/okam/wt-meals-reachable-web	3	0
/Users/svendaneel/okam/wt-merge	0	0
/Users/svendaneel/okam/wt-mrglagvis	3	0
/Users/svendaneel/okam/wt-nav	0	0
