worktree	disk	tracked	untracked_on_disk	modified_tracked
/Users/svendaneel/okam/Web	0	0	0	0
/Users/svendaneel/okam/Web-modules	38	3	35	1
/Users/svendaneel/okam/Web-modules-wt/L-COLLAPSE-THE-TWO-HOOK-SWEEPS	3	3	0	0
/Users/svendaneel/okam/web-admincred	3	3	0	0
/Users/svendaneel/okam/web-armrecapture	3	3	0	0
/Users/svendaneel/okam/web-arrival	29	5	24	0
/Users/svendaneel/okam/web-artloc	3	3	0	0
/Users/svendaneel/okam/web-atde	5	3	2	0
/Users/svendaneel/okam/web-blindbind	0	0	0	0
/Users/svendaneel/okam/web-check-discount-sum	3	3	0	0
/Users/svendaneel/okam/web-check-lineamount	3	3	0	0
/Users/svendaneel/okam/web-coercwrite	3	3	0	0
/Users/svendaneel/okam/web-collectcond	5	5	0	0
/Users/svendaneel/okam/web-collected	3	3	0	0
/Users/svendaneel/okam/web-consentvocab	3	3	0	0
/Users/svendaneel/okam/web-dupbuild	5	5	0	0
/Users/svendaneel/okam/web-dupkeyguard	5	5	0	0
/Users/svendaneel/okam/web-evinqgate	0	0	0	0
/Users/svendaneel/okam/web-evstale	6	3	3	0
/Users/svendaneel/okam/web-fe-candidate	29	5	24	5
/Users/svendaneel/okam/web-fe-ci	0	0	0	0
/Users/svendaneel/okam/web-fe-em	5	0	5	0
/Users/svendaneel/okam/web-fe-events-guest	0	0	0	0
/Users/svendaneel/okam/web-fe-growth-guest	0	0	0	0
/Users/svendaneel/okam/web-fe-growth-honesty	0	0	0	0
/Users/svendaneel/okam/web-fe-invlist	5	3	2	1
/Users/svendaneel/okam/web-fe-margin-statement	0	0	0	0
/Users/svendaneel/okam/web-fe-margin-supplier	0	0	0	0
/Users/svendaneel/okam/web-fe-meals-claim	0	0	0	0
/Users/svendaneel/okam/web-fe-meals-write	0	0	0	0
/Users/svendaneel/okam/web-fe-suppbasis	0	0	0	0
/Users/svendaneel/okam/web-fe-tm	12	0	12	0
/Users/svendaneel/okam/web-fe-training-fixes	0	0	0	0
/Users/svendaneel/okam/web-fe-wf-inbox	0	0	0	0
/Users/svendaneel/okam/web-fe-wf-personnel	0	0	0	0
/Users/svendaneel/okam/web-fe-wf-self	7	0	7	0
/Users/svendaneel/okam/web-fieldsvsharness	3	3	0	0
/Users/svendaneel/okam/web-fixdiv	3	3	0	0
/Users/svendaneel/okam/web-fixrendered	3	3	0	0
/Users/svendaneel/okam/web-grwithdraw	3	3	0	0
/Users/svendaneel/okam/web-guardland	3	3	0	0
/Users/svendaneel/okam/web-jestlanes	3	3	0	0
/Users/svendaneel/okam/web-journeys	9	0	9	0
/Users/svendaneel/okam/web-jrbisect	4	3	1	0
/Users/svendaneel/okam/web-kodeui	4	3	1	0
/Users/svendaneel/okam/web-linkdeadend	0	0	0	0
