worktree                                    branch                                  nm       link@        .nuxt@       ownart art@
Web                                         feature/POS                             own-dir  -            07-28T23:14  0      -
Web-modules                                 lane/focustrap-teardown                 own-dir  -            08-04T23:14  36     08-04T23:14
web-arrival                                 (detached)                              symlink  08-05T02:08  08-05T02:33  24     08-05T02:33
web-artloc                                  lane/artifact-names-its-locale          symlink  08-05T07:27  08-05T07:42  0      08-05T07:42
web-atde                                    (detached)                              symlink  08-05T06:44  08-05T07:43  2      08-05T07:44
web-evstale                                 lane/ev-stale-cause                     symlink  08-01T16:42  08-01T16:54  3      08-01T16:55
web-fe-candidate                            candidate/fe-compose-2026-08-05         symlink  08-05T00:30  08-05T02:05  29     08-05T02:08
web-fe-em                                   lane/fe-events-margin-surfaces          own-dir  -            08-01T11:38  5      08-01T11:38
web-fe-events-guest                         lane/fe-events-guest                    own-dir  -            07-31T17:29  0      -
web-fe-growth-guest                         lane/fe-growth-guest                    symlink  07-31T19:21  07-31T19:27  0      -
web-fe-growth-honesty                       lane/fe-growth-honesty                  none     -            07-31T17:24  0      -
web-fe-invlist                              lane/fe-wf-invite-list-revoke           symlink  08-04T22:08  08-04T22:18  3      08-04T22:18
web-fe-meals-claim                          lane/fe-meals-claim                     symlink  07-31T19:17  07-31T19:19  0      -
web-fe-meals-write                          lane/fe-meals-write                     own-dir  -            07-31T17:37  0      -
web-fe-suppbasis                            lane/fe-wf-supplement-basis             none     -            07-31T18:00  0      -
web-fe-tm                                   lane/fe-training-meals-surfaces         symlink  08-01T10:59  08-01T11:42  12     08-01T11:45
web-fe-wf-inbox                             lane/fe-wf-inbox                        none     -            07-31T17:28  0      -
web-fe-wf-personnel                         lane/fe-wf-personnel                    none     -            07-31T17:20  0      -
web-fe-wf-self                              lane/fe-wf-self                         own-dir  -            08-01T11:40  7      08-01T11:42
web-journeys                                lane/fe-journeys                        own-dir  -            07-31T22:53  9      07-31T22:53
web-jrbisect                                (detached)                              symlink  08-05T01:42  08-05T01:48  1      08-05T01:48
web-kodeui                                  lane/wf-kodeoversikt-ui                 symlink  08-04T20:30  08-04T20:59  1      08-04T21:00
web-menu-allergen                           lane/menu-allergen-matrix               own-dir  -            08-01T13:42  4      08-01T13:42
web-mixinlabels                             lane/mixin-labels-translate             symlink  08-05T07:53  08-05T08:09  1      08-05T08:16
web-mjloc                                   lane/fe-meals-journey-locator           symlink  08-05T01:56  08-05T02:07  1      08-05T02:07
web-modal-scrolllock                        lane/modal-scrolllock                   symlink  08-01T15:23  08-01T15:44  3      08-01T15:44
web-modal-seven                             lane/modal-seven                        symlink  08-01T17:47  08-01T18:15  3      08-01T18:16
web-modal-two                               lane/modal-broken-two                   symlink  08-01T18:46  -            5      08-01T19:02
web-mpretick                                lane/fe-meals-pretick-walked            symlink  08-05T02:26  08-05T02:36  1      08-05T02:36
web-playwright                              lane/fe-playwright                      own-dir  -            07-31T21:42  3      07-31T21:42
web-pos-clock                               lane/fe-pos-clock                       symlink  08-01T12:25  08-01T12:58  4      08-01T12:58
web-print-host                              lane/print-host                         own-dir  -            08-01T15:13  3      08-01T15:13
web-rcptde                                  (detached)                              symlink  08-05T07:23  08-05T07:41  2      08-05T07:41
web-statute                                 lane/statute-honesty                    symlink  08-01T15:54  08-01T16:08  3      08-01T16:09
web-statute-world                           lane/statute-evidence-world             symlink  08-01T19:36  08-01T19:49  3      08-01T19:49
web-unwitnessed                             (detached)                              symlink  08-05T04:45  08-05T04:47  5      08-05T04:47
web-wf-onboard                              lane/fe-wf-onboard                      own-dir  -            07-31T22:46  4      07-31T22:47
web-wf-oplink                               lane/fe-wf-oplink                       none     -            08-01T16:58  5      08-01T16:59
web-wfack                                   lane/wf-acknowledge-receipt-visible     symlink  08-05T09:36  08-05T09:49  0      08-05T09:49
web-whoanswered                             (detached)                              symlink  08-05T02:42  08-05T04:34  1      08-05T04:34
wt-evtb                                     lane/ev-journey-timebomb                own-dir  -            08-04T03:50  1      08-04T10:49
wt-fe-exitmail                              lane/fe-gr-exit-wire-the-mail           symlink  08-04T20:50  08-04T21:21  1      08-04T21:21
wt-jteardown                                lane/journey-teardown                   symlink  08-04T15:49  08-04T18:32  1      08-04T18:34
wt-jwf                                      (detached)                              symlink  08-04T15:52  08-04T16:31  3      08-04T16:31
wt-mrglagvis                                lane/mrg-lag-visible                    symlink  08-04T13:12  08-04T13:18  1      08-04T13:18
wt-prefcentre-fe                            lane/fe-growth-prefcentre               none     -            08-03T11:27  5      08-03T11:27
wt-wfinvite                                 lane/wf-invite-surface                  symlink  08-04T20:55  08-04T20:57  0      08-04T20:59

TREES THAT RAN NUXT AND/OR A BROWSER: 47
