lane                                      tree                      nm-now    how-resolved
L-ARTIFACT-FIELDS-VS-HARNESS              UNKNOWN                   ?         no tree named; no live worktree
L-ARTIFACT-NAMES-ITS-LOCALE               web-artloc                symlink   named-in-return
L-ARTIFACT-PROVENANCE                     UNKNOWN                   ?         no tree named; no live worktree
L-ARTIFACT-RANK-KEY                       UNKNOWN                   ?         no tree named; no live worktree
L-BUILT-BUT-ON-NO-REF                     AMBIGUOUS(2)              ?         multiple-candidates
L-COMPOSE-FE-CANDIDATE                    web-fe-candidate          symlink   named-in-return
L-COMPOSE-FE-CANDIDATE                    web-fe-candidate          symlink   named-in-return
L-COMPOSE-FE-CANDIDATE                    web-fe-candidate          symlink   named-in-return
L-CONFIRM-ADMIN-SURFACE                   UNKNOWN                   ?         no tree named; no live worktree
L-CORE-ORE-LABEL                          UNKNOWN                   ?         no tree named; no live worktree
L-DUPLICATE-KEY-IN-THE-BUILD              web-dupbuild              own-dir   lane-id->branch
L-EV-ACCEPT-RECEIPT                       UNKNOWN                   ?         no tree named; no live worktree
L-EV-DEPOSITS-PRECONDITION                UNKNOWN                   ?         no tree named; no live worktree
L-EV-FAMILY-LAND                          UNKNOWN                   ?         no tree named; no live worktree
L-EV-JOURNEY-TIMEBOMB                     wt-evtb                   own-dir   named-in-return
L-EV-RUNSHEET-PRINT                       UNKNOWN                   ?         no tree named; no live worktree
L-EV-STALE-CAUSE                          web-evstale               symlink   named-in-return
L-FE-JOURNEYS-MERGE                       AMBIGUOUS(2)              ?         multiple-candidates
L-FE-WF-INVITE-LIST-REVOKE                web-fe-invlist            symlink   named-in-return
L-FE-WF-ONBOARD-WALK                      AMBIGUOUS(2)              ?         multiple-candidates
L-FLAGS-JOURNEY-SWEEP                     UNKNOWN                   ?         no tree named; no live worktree
L-FLAGS-NOTE-FALSIFIABLE                  UNKNOWN                   ?         no tree named; no live worktree
L-GR-CONFIRMED-PIN-FIX                    UNKNOWN                   ?         no tree named; no live worktree
L-GR-DEADLINE-ONWIRE                      UNKNOWN                   ?         no tree named; no live worktree
L-GR-EXIT-WIRE-THE-MAIL                   web-kodeui                symlink   named-in-return
L-GR-PRIVACY-VENUE                        UNKNOWN                   ?         no tree named; no live worktree
L-GROWTH-PREFCENTRE                       wt-prefcentre-fe          none      branch-mentioned
L-JOURNEY-ARTIFACTS-UNWITNESSED           web-whoanswered           symlink   named-in-return
L-JOURNEY-COVERAGE-THREE                  web-journeys              own-dir   branch-mentioned
