worktree	branch	head	node_modules	nm_target	nm_link_mtime	dot_nuxt	nuxt_mtime	journey_artifacts	artifact_mtime
/Users/svendaneel/okam/Web	feature/POS	da1d381	own-dir	-	-	yes	07-28T23:14	0	-
/Users/svendaneel/okam/Web-modules	lane/focustrap-teardown	8ac6f63	own-dir	-	-	yes	08-04T23:14	38	08-04T23:14
/Users/svendaneel/okam/Web-modules-wt/L-COLLAPSE-THE-TWO-HOOK-SWEEPS	lane/collapse-the-two-hook-sweeps	cffede3	symlink	Web-modules	08-05T09:32	no	-	3	08-05T09:31
/Users/svendaneel/okam/web-admincred	lane/fe-admin-refusal-credential	478ced7	none	-	-	no	-	3	08-04T02:50
/Users/svendaneel/okam/web-armrecapture	(detached)	7030c00	symlink	Web-modules	08-05T05:09	no	-	3	08-05T05:09
/Users/svendaneel/okam/web-arrival	(detached)	9f7d8df	symlink	Web-modules	08-05T02:08	yes	08-05T02:33	29	08-05T02:33
/Users/svendaneel/okam/web-artloc	lane/artifact-names-its-locale	adde936	symlink	Web-modules	08-05T07:27	yes	08-05T07:42	3	08-05T07:42
/Users/svendaneel/okam/web-atde	(detached)	e34977a	symlink	Web-modules	08-05T06:44	yes	08-05T07:43	5	08-05T07:44
/Users/svendaneel/okam/web-blindbind	lane/fe-wf-blind-bind-name	c67df92	symlink	Web-modules	08-04T00:05	no	-	0	-
/Users/svendaneel/okam/web-check-discount-sum	lane/check-discount-sum-coupled	c8f26d5	symlink	Web-modules	08-05T02:00	no	-	3	08-05T01:55
/Users/svendaneel/okam/web-check-lineamount	lane/check-lineamount-ungated-sum	c32cda3	symlink	Web-modules	08-05T02:48	no	-	3	08-05T02:44
/Users/svendaneel/okam/web-coercwrite	lane/coercion-write-paths	4351f8f	symlink	Web-modules	08-04T15:31	no	-	3	08-04T15:28
/Users/svendaneel/okam/web-collectcond	lane/collect-review-conditions	808d509	symlink	Web-modules	08-05T01:27	no	-	5	08-05T01:32
/Users/svendaneel/okam/web-collected	lane/collected-paths	6f03b18	symlink	Web-modules	08-05T00:36	no	-	3	08-05T00:35
/Users/svendaneel/okam/web-consentvocab	lane/consent-reason-vocabulary	038612f	symlink	Web-modules	08-05T05:21	no	-	3	08-05T05:21
/Users/svendaneel/okam/web-dupbuild	lane/duplicate-key-in-the-build	b4300b4	own-dir	-	-	no	-	5	08-05T08:02
/Users/svendaneel/okam/web-dupkeyguard	lane/duplicate-key-guard	cb2cee6	symlink	Web-modules	08-05T05:26	no	-	5	08-05T05:26
/Users/svendaneel/okam/web-evinqgate	lane/fe-ev-inquiry-gate	f7695bc	none	-	-	no	-	0	-
/Users/svendaneel/okam/web-evstale	lane/ev-stale-cause	818c48a	symlink	Web-modules	08-01T16:42	yes	08-01T16:54	6	08-01T16:55
/Users/svendaneel/okam/web-fe-candidate	candidate/fe-compose-2026-08-05	9f7d8df	symlink	Web-modules	08-05T00:30	yes	08-05T02:05	29	08-05T02:08
/Users/svendaneel/okam/web-fe-ci	lane/fe-ci	36ce9ae	own-dir	-	-	no	-	0	-
/Users/svendaneel/okam/web-fe-em	lane/fe-events-margin-surfaces	e8b58ec	own-dir	-	-	yes	08-01T11:38	5	08-01T11:38
/Users/svendaneel/okam/web-fe-events-guest	lane/fe-events-guest	2eb1222	own-dir	-	-	yes	07-31T17:29	0	-
/Users/svendaneel/okam/web-fe-growth-guest	lane/fe-growth-guest	d6c0b12	symlink	Web	07-31T19:21	yes	07-31T19:27	0	-
/Users/svendaneel/okam/web-fe-growth-honesty	lane/fe-growth-honesty	a70cf04	none	-	-	yes	07-31T17:24	0	-
/Users/svendaneel/okam/web-fe-invlist	lane/fe-wf-invite-list-revoke	e8d69fc	symlink	Web-modules	08-04T22:08	yes	08-04T22:18	5	08-04T22:18
/Users/svendaneel/okam/web-fe-margin-statement	lane/fe-margin-statement	c1f34c4	none	-	-	no	-	0	-
/Users/svendaneel/okam/web-fe-margin-supplier	lane/fe-margin-supplier	fecf961	own-dir	-	-	no	-	0	-
/Users/svendaneel/okam/web-fe-meals-claim	lane/fe-meals-claim	a3f6100	symlink	Web-modules	07-31T19:17	yes	07-31T19:19	0	-
/Users/svendaneel/okam/web-fe-meals-write	lane/fe-meals-write	8bc4155	own-dir	-	-	yes	07-31T17:37	0	-
/Users/svendaneel/okam/web-fe-suppbasis	lane/fe-wf-supplement-basis	e215db0	none	-	-	yes	07-31T18:00	0	-
/Users/svendaneel/okam/web-fe-tm	lane/fe-training-meals-surfaces	2069338	symlink	web-journeys	08-01T10:59	yes	08-01T11:42	12	08-01T11:45
/Users/svendaneel/okam/web-fe-training-fixes	lane/fe-training-fixes	fcf5a3e	none	-	-	no	-	0	-
/Users/svendaneel/okam/web-fe-wf-inbox	lane/fe-wf-inbox	4e5ad7e	none	-	-	yes	07-31T17:28	0	-
/Users/svendaneel/okam/web-fe-wf-personnel	lane/fe-wf-personnel	3374a58	none	-	-	yes	07-31T17:20	0	-
/Users/svendaneel/okam/web-fe-wf-self	lane/fe-wf-self	5886ba3	own-dir	-	-	yes	08-01T11:40	7	08-01T11:42
/Users/svendaneel/okam/web-fieldsvsharness	(detached)	e34977a	none	-	-	no	-	3	08-05T05:21
/Users/svendaneel/okam/web-fixdiv	lane/fixture-divergence-receipt	0dbec34	none	-	-	no	-	3	08-05T02:26
/Users/svendaneel/okam/web-fixrendered	lane/fixture-rendered-values	038612f	symlink	Web-modules	08-05T06:02	no	-	3	08-05T06:02
/Users/svendaneel/okam/web-grwithdraw	lane/fe-gr-withdraw-origin	8049332	symlink	Web-modules	08-03T17:09	no	-	3	08-03T17:07
/Users/svendaneel/okam/web-guardland	lane/guard-repair-lands	7030c00	symlink	Web-modules	08-05T04:57	no	-	3	08-05T04:57
/Users/svendaneel/okam/web-jestlanes	(detached)	cbb5a98	symlink	Web-modules	08-04T23:55	no	-	3	08-04T23:55
/Users/svendaneel/okam/web-journeys	lane/fe-journeys	de0d66b	own-dir	-	-	yes	07-31T22:53	9	07-31T22:53
/Users/svendaneel/okam/web-jrbisect	(detached)	2e3f39d	symlink	Web-modules	08-05T01:42	yes	08-05T01:48	4	08-05T01:48
/Users/svendaneel/okam/web-kodeui	lane/wf-kodeoversikt-ui	19ad001	symlink	Web-modules	08-04T20:30	yes	08-04T20:59	4	08-04T21:00
/Users/svendaneel/okam/web-linkdeadend	lane/fe-wf-link-deadend	bed932e	symlink	Web-modules	08-04T01:54	no	-	0	-
/Users/svendaneel/okam/web-lint2defects	lane/lint-two-real-defects	aec051a	symlink	Web-modules	08-05T06:09	no	-	5	08-05T06:09
/Users/svendaneel/okam/web-lintrunnable	lane/lint-runnable	8ad3358	symlink	Web-modules	08-05T05:45	no	-	5	08-05T05:45
/Users/svendaneel/okam/web-lintruns	lane/lint-runs-on-something	9f7d8df	symlink	Web-modules	08-05T09:39	no	-	5	08-05T09:39
/Users/svendaneel/okam/web-meals-claim-receipt	lane/fe-meals-claim-receipt	d833d19	symlink	Web-modules	08-04T11:08	no	-	3	08-04T11:08
/Users/svendaneel/okam/web-mealsdocsync	lane/fe-meals-docsync	7ac2f92	none	-	-	no	-	3	08-04T12:46
/Users/svendaneel/okam/web-mealsrecon	lane/fe-meals-reconcile-ui	e072948	symlink	Web-modules	08-04T13:19	no	-	3	08-04T13:19
/Users/svendaneel/okam/web-menu-allergen	lane/menu-allergen-matrix	f1b0d1a	own-dir	-	-	yes	08-01T13:42	4	08-01T13:42
/Users/svendaneel/okam/web-mixinlabels	lane/mixin-labels-translate	627e34a	symlink	Web-modules	08-05T07:53	yes	08-05T08:09	4	08-05T08:16
/Users/svendaneel/okam/web-mjloc	lane/fe-meals-journey-locator	d320105	symlink	Web-modules	08-05T01:56	yes	08-05T02:07	4	08-05T02:07
/Users/svendaneel/okam/web-modal-scrolllock	lane/modal-scrolllock	178c895	symlink	Web-modules	08-01T15:23	yes	08-01T15:44	4	08-01T15:44
/Users/svendaneel/okam/web-modal-seven	lane/modal-seven	839d377	symlink	Web-modules	08-01T17:47	yes	08-01T18:15	5	08-01T18:16
/Users/svendaneel/okam/web-modal-two	lane/modal-broken-two	6348944	symlink	Web-modules	08-01T18:46	no	-	5	08-01T19:02
/Users/svendaneel/okam/web-mpretick	lane/fe-meals-pretick-walked	9fbed80	symlink	Web-modules	08-05T02:26	yes	08-05T02:36	4	08-05T02:36
/Users/svendaneel/okam/web-mrgcovunknown	lane/mrg-coverage-unknown	4557027	none	-	-	no	-	3	08-04T14:36
/Users/svendaneel/okam/web-mrgpagevac	lane/mrg-page-test-vacuous	8ac314c	symlink	Web-modules	08-04T14:41	no	-	3	08-04T14:41
/Users/svendaneel/okam/web-mrgwastefe	lane/mrg-waste-frontend	804fe23	symlink	Web-modules	08-04T14:16	no	-	3	08-04T14:16
/Users/svendaneel/okam/web-noonly	lane/norwegian-only-keys-translate	a8177f8	symlink	Web-modules	08-05T07:49	no	-	3	08-05T07:39
/Users/svendaneel/okam/web-paylabel	lane/payment-label-ukjent	4465d02	symlink	Web-modules	08-05T07:10	no	-	3	08-05T07:09
/Users/svendaneel/okam/web-playwright	lane/fe-playwright	d6c4f4f	own-dir	-	-	yes	07-31T21:42	3	07-31T21:42
/Users/svendaneel/okam/web-pos-clock	lane/fe-pos-clock	7c3a1e1	symlink	web-journeys	08-01T12:25	yes	08-01T12:58	4	08-01T12:58
/Users/svendaneel/okam/web-preflight	(detached)	eb9d52e	symlink	Web-modules	08-05T05:55	no	-	3	08-05T05:55
/Users/svendaneel/okam/web-preflight-missing	(detached)	eb9d52e	none	-	-	no	-	3	08-05T05:53
/Users/svendaneel/okam/web-print-host	lane/print-host	6e6acd0	own-dir	-	-	yes	08-01T15:13	4	08-01T15:13
/Users/svendaneel/okam/web-provexcl	lane/provenance-excludes-lane-evidence	607f138	symlink	Web-modules	08-05T05:56	no	-	3	08-05T05:56
/Users/svendaneel/okam/web-rcptde	(detached)	e34977a	symlink	Web-modules	08-05T07:23	yes	08-05T07:41	4	08-05T07:41
/Users/svendaneel/okam/web-receipt-discount-row	lane/receipt-discount-row-dropped	7a72c02	symlink	Web-modules	08-05T02:19	no	-	3	08-05T02:18
/Users/svendaneel/okam/web-statute	lane/statute-honesty	f01886a	symlink	Web-modules	08-01T15:54	yes	08-01T16:08	5	08-01T16:09
/Users/svendaneel/okam/web-statute-world	lane/statute-evidence-world	2ee3fd7	symlink	Web-modules	08-01T19:36	yes	08-01T19:49	5	08-01T19:49
/Users/svendaneel/okam/web-suppkey	lane/fe-growth-suppressed-key	775d45e	symlink	Web-modules	08-05T04:38	no	-	3	08-05T04:31
